Issue Key,Project,Issue Type,Summary,Description,Priority,Severity,Labels,Root Cause,Status,Resolution,Assignee,Reporter,Created,Updated,Resolution Date,Sprint
QA-203,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Open app. Expected: Data should be saved. Actual: System crashes.,Medium,Blocker,General Code Defect,Code Bug,Open,Duplicate,John Doe,QA Tester,2024-04-29,2024-05-02,2024-05-04,Sprint 9 (2024)
QA-204,QA Defects,Bug,UI alignment issue on mobile view,Steps: Open app. Expected: Data should be saved. Actual: 500 error returned.,Medium,Minor,UI,Test Data Issue,Open,Cannot Reproduce,Bob Johnson,QA Tester,2024-04-30,2024-05-09,2024-05-21,Sprint 9 (2024)
QA-205,QA Defects,Bug,API returns 500 error on valid request,Steps: Submit form. Expected: User should be redirected. Actual: System crashes.,Low,Blocker,API,Memory Leak,Resolved,Won't Fix,Alice Brown,Test Engineer,2024-05-01,2024-05-11,2024-05-15,Sprint 9 (2024)
QA-206,QA Defects,Bug,Application crashes on logout,Steps: Submit form. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Minor,Logging,Environment Issue,In Progress,Fixed,Bob Johnson,Test Engineer,2024-05-03,2024-05-11,,Sprint 9 (2024)
QA-207,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: User should be redirected. Actual: 500 error returned.,Low,Major,Validation,Test Data Issue,Open,Won't Fix,Alice Brown,Test Engineer,2024-05-04,2024-05-09,,Sprint 9 (2024)
QA-208,QA Defects,Bug,File upload fails for large files,Steps: Submit form. Expected: User should be redirected. Actual: Incorrect message displayed.,Low,Critical,Performance,Memory Leak,In Progress,Won't Fix,John Doe,QA Tester,2024-05-05,2024-05-06,2024-05-16,Sprint 9 (2024)
QA-209,QA Defects,Bug,Dropdown options missing in settings,Steps: Call API endpoint. Expected: User should be redirected. Actual: Data not saved.,Medium,Major,UI,Code Bug,Closed,Won't Fix,Bob Johnson,QA Tester,2024-05-06,2024-05-11,,Sprint 10 (2024)
QA-210,QA Defects,Bug,SQL query takes too long to execute,Steps: Call API endpoint. Expected: Data should be saved. Actual: 500 error returned.,Low,Critical,Database,Code Bug,In Progress,Won't Fix,John Doe,QA Tester,2024-05-07,2024-05-12,,Sprint 10 (2024)
QA-211,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Click logout. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,Low,Blocker,Performance,Environment Issue,In Progress,Cannot Reproduce,Mark Lee,Test Engineer,2024-05-08,2024-05-14,2024-05-15,Sprint 10 (2024)
QA-212,QA Defects,Bug,Password reset email not received,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Minor,Security,Memory Leak,In Progress,Won't Fix,Mark Lee,Test Engineer,2024-05-10,2024-05-16,2024-05-30,Sprint 10 (2024)
QA-213,QA Defects,Bug,Memory leak observed under load test,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: Incorrect message displayed.,Low,Blocker,Performance,Code Bug,Resolved,Cannot Reproduce,John Doe,Test Engineer,2024-05-11,2024-05-19,2024-06-03,Sprint 10 (2024)
QA-214,QA Defects,Bug,Search results not displayed correctly,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: Incorrect message displayed.,Low,Major,Data Handling,Configuration Issue,Open,Fixed,Alice Brown,QA Tester,2024-05-12,2024-05-13,2024-05-17,Sprint 10 (2024)
QA-215,QA Defects,Bug,Data not saved to database after form submit,Steps: Call API endpoint. Expected: System should work correctly. Actual: System crashes.,High,Major,Database,Code Bug,Open,Duplicate,Alice Brown,QA Tester,2024-05-13,2024-05-18,2024-05-25,Sprint 10 (2024)
QA-216,QA Defects,Bug,Login button not responsive,Steps: Submit form. Expected: User should be redirected. Actual: Incorrect message displayed.,Low,Blocker,UI,Environment Issue,In Progress,Fixed,Mark Lee,Automation Bot,2024-05-14,2024-05-16,2024-05-28,Sprint 10 (2024)
QA-217,QA Defects,Bug,Session timeout not working as expected,Steps: Call API endpoint. Expected: Data should be saved. Actual: Data not saved.,Low,Blocker,Performance,Code Bug,Open,Cannot Reproduce,John Doe,Test Engineer,2024-05-15,2024-05-17,,Sprint 10 (2024)
QA-218,QA Defects,Bug,Password reset email not received,Steps: Submit form. Expected: System should work correctly. Actual: Incorrect message displayed.,Medium,Blocker,Security,Memory Leak,Open,Won't Fix,John Doe,Test Engineer,2024-05-17,2024-05-20,,Sprint 10 (2024)
QA-219,QA Defects,Bug,Search results not displayed correctly,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Minor,Data Handling,Test Data Issue,In Progress,Duplicate,John Doe,Test Engineer,2024-05-18,2024-05-24,,Sprint 10 (2024)
QA-220,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: System should work correctly. Actual: Incorrect message displayed.,Medium,Critical,Validation,Code Bug,In Progress,Won't Fix,Alice Brown,Test Engineer,2024-05-19,2024-05-27,2024-06-10,Sprint 10 (2024)
QA-221,QA Defects,Bug,Password reset email not received,Steps: Click logout. Expected: Response should be 200 OK. Actual: 500 error returned.,Medium,Major,Security,Code Bug,In Progress,Won't Fix,Alice Brown,Test Engineer,2024-05-20,2024-05-22,2024-05-23,Sprint 11 (2024)
QA-222,QA Defects,Bug,Session timeout not working as expected,Steps: Open app. Expected: Response should be 200 OK. Actual: Data not saved.,High,Blocker,Performance,Code Bug,Open,Fixed,Bob Johnson,QA Tester,2024-05-21,2024-05-26,2024-06-04,Sprint 11 (2024)
QA-223,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Click logout. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Major,General Code Defect,Environment Issue,Resolved,Won't Fix,Bob Johnson,QA Tester,2024-05-22,2024-05-28,2024-05-29,Sprint 11 (2024)
QA-224,QA Defects,Bug,User roles not applied correctly after update,Steps: Submit form. Expected: System should work correctly. Actual: Incorrect message displayed.,Low,Minor,General Code Defect,Memory Leak,Open,Duplicate,Bob Johnson,Automation Bot,2024-05-24,2024-05-29,2024-06-06,Sprint 11 (2024)
QA-225,QA Defects,Bug,Memory leak observed under load test,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Data not saved.,Low,Blocker,Performance,Memory Leak,Closed,Won't Fix,Bob Johnson,Test Engineer,2024-05-25,2024-05-31,,Sprint 11 (2024)
QA-226,QA Defects,Bug,Dropdown options missing in settings,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Minor,UI,Environment Issue,Open,,John Doe,QA Tester,2024-05-26,2024-06-03,2024-06-13,Sprint 11 (2024)
QA-227,QA Defects,Bug,API returns 500 error on valid request,Steps: Submit form. Expected: User should be redirected. Actual: Data not saved.,Low,Critical,API,Configuration Issue,Resolved,,John Doe,Test Engineer,2024-05-27,2024-05-31,2024-06-13,Sprint 11 (2024)
QA-228,QA Defects,Bug,Session timeout not working as expected,Steps: Click logout. Expected: User should be redirected. Actual: Incorrect message displayed.,Medium,Critical,Performance,Memory Leak,In Progress,,Alice Brown,Automation Bot,2024-05-28,2024-06-04,,Sprint 11 (2024)
QA-229,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Open app. Expected: System should work correctly. Actual: System crashes.,Medium,Minor,Reporting,Environment Issue,Open,Duplicate,Jane Smith,Test Engineer,2024-05-29,2024-06-06,2024-06-18,Sprint 11 (2024)
QA-230,QA Defects,Bug,Memory leak observed under load test,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Incorrect message displayed.,High,Blocker,Performance,Configuration Issue,In Progress,Fixed,Bob Johnson,QA Tester,2024-05-31,2024-06-09,2024-06-22,Sprint 11 (2024)
QA-231,QA Defects,Bug,User roles not applied correctly after update,Steps: Open app. Expected: User should be redirected. Actual: System crashes.,Low,Major,General Code Defect,Performance Issue,Resolved,Fixed,Alice Brown,Test Engineer,2024-06-01,2024-06-08,2024-06-13,Sprint 11 (2024)
QA-232,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Critical,Validation,Environment Issue,In Progress,Cannot Reproduce,Bob Johnson,Test Engineer,2024-06-02,2024-06-11,,Sprint 11 (2024)
QA-233,QA Defects,Bug,Dropdown options missing in settings,Steps: Call API endpoint. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Minor,UI,Performance Issue,Open,Cannot Reproduce,Mark Lee,Automation Bot,2024-06-03,2024-06-05,2024-06-13,Sprint 12 (2024)
QA-234,QA Defects,Bug,File upload fails for large files,Steps: Call API endpoint. Expected: System should work correctly. Actual: 500 error returned.,Low,Critical,Performance,Configuration Issue,Resolved,Won't Fix,John Doe,Test Engineer,2024-06-04,2024-06-06,2024-06-16,Sprint 12 (2024)
QA-235,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Open app. Expected: System should work correctly. Actual: System crashes.,Medium,Critical,Performance,Memory Leak,Open,Fixed,Jane Smith,Automation Bot,2024-06-05,2024-06-12,2024-06-20,Sprint 12 (2024)
QA-236,QA Defects,Bug,Memory leak observed under load test,Steps: Click logout. Expected: Data should be saved. Actual: 500 error returned.,Low,Blocker,Performance,Test Data Issue,In Progress,Duplicate,Alice Brown,Automation Bot,2024-06-07,2024-06-08,2024-06-09,Sprint 12 (2024)
QA-237,QA Defects,Bug,Search results not displayed correctly,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,High,Minor,Data Handling,Environment Issue,In Progress,Fixed,John Doe,QA Tester,2024-06-08,2024-06-12,2024-06-23,Sprint 12 (2024)
QA-238,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Navigate to dashboard. Expected: Response should be 200 OK. Actual: Data not saved.,High,Blocker,General Code Defect,Code Bug,Resolved,Fixed,John Doe,Automation Bot,2024-06-09,2024-06-12,2024-06-16,Sprint 12 (2024)
QA-239,QA Defects,Bug,Login button not responsive,Steps: Submit form. Expected: User should be redirected. Actual: 500 error returned.,Low,Blocker,UI,Test Data Issue,Closed,,Bob Johnson,Automation Bot,2024-06-10,2024-06-13,,Sprint 12 (2024)
QA-240,QA Defects,Bug,Cache not refreshed after deployment,Steps: Submit form. Expected: Response should be 200 OK. Actual: Data not saved.,Low,Minor,DevOps,Environment Issue,In Progress,Cannot Reproduce,John Doe,QA Tester,2024-06-11,2024-06-17,2024-07-01,Sprint 12 (2024)
QA-241,QA Defects,Bug,Password reset email not received,Steps: Open app. Expected: Response should be 200 OK. Actual: System crashes.,Low,Major,Security,Memory Leak,In Progress,Cannot Reproduce,Bob Johnson,Test Engineer,2024-06-13,2024-06-20,2024-07-01,Sprint 12 (2024)
QA-242,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Call API endpoint. Expected: Data should be saved. Actual: Incorrect message displayed.,High,Blocker,Reporting,Code Bug,Resolved,,Bob Johnson,Automation Bot,2024-06-14,2024-06-23,2024-06-24,Sprint 12 (2024)
QA-243,QA Defects,Bug,Memory leak observed under load test,Steps: Call API endpoint. Expected: System should work correctly. Actual: Data not saved.,Medium,Blocker,Performance,Code Bug,Open,Cannot Reproduce,Alice Brown,QA Tester,2024-06-15,2024-06-18,2024-06-22,Sprint 12 (2024)
QA-244,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Call API endpoint. Expected: Data should be saved. Actual: Page loads slowly.,High,Major,General Code Defect,Test Data Issue,In Progress,Cannot Reproduce,Alice Brown,Test Engineer,2024-06-16,2024-06-20,,Sprint 12 (2024)
QA-245,QA Defects,Bug,Login button not responsive,Steps: Call API endpoint. Expected: Data should be saved. Actual: Incorrect message displayed.,Low,Critical,UI,Code Bug,Closed,Won't Fix,Alice Brown,Automation Bot,2024-06-17,2024-06-21,,Sprint 13 (2024)
QA-246,QA Defects,Bug,API returns 500 error on valid request,Steps: Submit form. Expected: User should be redirected. Actual: System crashes.,High,Critical,API,Environment Issue,Open,,Mark Lee,Test Engineer,2024-06-18,2024-06-27,2024-07-06,Sprint 13 (2024)
QA-247,QA Defects,Bug,Export to CSV generates empty file,Steps: Open app. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Major,Data Handling,Configuration Issue,Closed,,Mark Lee,QA Tester,2024-06-20,2024-06-27,2024-07-01,Sprint 13 (2024)
QA-248,QA Defects,Bug,User roles not applied correctly after update,Steps: Click logout. Expected: System should work correctly. Actual: System crashes.,High,Blocker,General Code Defect,Memory Leak,In Progress,Fixed,Jane Smith,QA Tester,2024-06-21,2024-06-28,2024-07-08,Sprint 13 (2024)
QA-249,QA Defects,Bug,Search results not displayed correctly,Steps: Call API endpoint. Expected: User should be redirected. Actual: Page loads slowly.,High,Minor,Data Handling,Performance Issue,Closed,Fixed,Bob Johnson,QA Tester,2024-06-22,2024-06-29,,Sprint 13 (2024)
QA-250,QA Defects,Bug,Export to CSV generates empty file,Steps: Click logout. Expected: System should work correctly. Actual: 500 error returned.,High,Minor,Data Handling,Memory Leak,Resolved,Cannot Reproduce,Mark Lee,QA Tester,2024-06-23,2024-07-03,2024-07-13,Sprint 13 (2024)
QA-251,QA Defects,Bug,Cache not refreshed after deployment,Steps: Click logout. Expected: User should be redirected. Actual: System crashes.,Medium,Blocker,DevOps,Code Bug,Open,Cannot Reproduce,Mark Lee,QA Tester,2024-06-24,2024-07-02,2024-07-15,Sprint 13 (2024)
QA-252,QA Defects,Bug,Application crashes on logout,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Data not saved.,High,Major,Logging,Code Bug,In Progress,Duplicate,Jane Smith,QA Tester,2024-06-25,2024-07-05,,Sprint 13 (2024)
QA-253,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Blocker,Validation,Test Data Issue,Closed,Fixed,Alice Brown,Test Engineer,2024-06-27,2024-07-06,2024-07-20,Sprint 13 (2024)
QA-254,QA Defects,Bug,File upload fails for large files,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,Medium,Critical,Performance,Test Data Issue,Open,Duplicate,Bob Johnson,QA Tester,2024-06-28,2024-07-03,2024-07-13,Sprint 13 (2024)
QA-255,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Submit form. Expected: System should work correctly. Actual: Data not saved.,High,Critical,Reporting,Test Data Issue,Open,Cannot Reproduce,Alice Brown,Test Engineer,2024-06-29,2024-07-07,,Sprint 13 (2024)
QA-256,QA Defects,Bug,User roles not applied correctly after update,Steps: Call API endpoint. Expected: Data should be saved. Actual: Page loads slowly.,Medium,Blocker,General Code Defect,Code Bug,Open,,Bob Johnson,QA Tester,2024-06-30,2024-07-02,2024-07-05,Sprint 13 (2024)
QA-257,QA Defects,Bug,Login button not responsive,Steps: Call API endpoint. Expected: User should be redirected. Actual: Page loads slowly.,Low,Blocker,UI,Code Bug,Open,Fixed,Mark Lee,QA Tester,2024-07-01,2024-07-10,2024-07-25,Sprint 14 (2024)
QA-258,QA Defects,Bug,User roles not applied correctly after update,Steps: Submit form. Expected: User should be redirected. Actual: System crashes.,High,Blocker,General Code Defect,Configuration Issue,Closed,,Bob Johnson,Automation Bot,2024-07-02,2024-07-05,2024-07-12,Sprint 14 (2024)
QA-259,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: Data should be saved. Actual: 500 error returned.,High,Major,Validation,Performance Issue,Resolved,Won't Fix,Bob Johnson,Automation Bot,2024-07-04,2024-07-09,2024-07-24,Sprint 14 (2024)
QA-260,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Open app. Expected: Response should be 200 OK. Actual: Page loads slowly.,High,Minor,General Code Defect,Test Data Issue,Open,Fixed,Mark Lee,Test Engineer,2024-07-05,2024-07-08,2024-07-11,Sprint 14 (2024)
QA-261,QA Defects,Bug,API returns 500 error on valid request,Steps: Call API endpoint. Expected: Data should be saved. Actual: 500 error returned.,Medium,Critical,API,Environment Issue,Resolved,Fixed,Bob Johnson,Test Engineer,2024-07-06,2024-07-11,2024-07-17,Sprint 14 (2024)
QA-262,QA Defects,Bug,SQL query takes too long to execute,Steps: Submit form. Expected: System should work correctly. Actual: Incorrect message displayed.,High,Blocker,Database,Configuration Issue,Open,Cannot Reproduce,Jane Smith,Test Engineer,2024-07-07,2024-07-09,,Sprint 14 (2024)
QA-263,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: System crashes.,Low,Blocker,DevOps,Code Bug,Open,,Alice Brown,Automation Bot,2024-07-08,2024-07-14,,Sprint 14 (2024)
QA-264,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: Incorrect message displayed.,Medium,Blocker,DevOps,Code Bug,Open,Fixed,Alice Brown,Test Engineer,2024-07-09,2024-07-17,2024-07-23,Sprint 14 (2024)
QA-265,QA Defects,Bug,Export to CSV generates empty file,Steps: Submit form. Expected: Data should be saved. Actual: Page loads slowly.,Medium,Blocker,Data Handling,Code Bug,Resolved,Cannot Reproduce,Mark Lee,QA Tester,2024-07-11,2024-07-20,2024-07-24,Sprint 14 (2024)
QA-266,QA Defects,Bug,API returns 500 error on valid request,Steps: Call API endpoint. Expected: Data should be saved. Actual: System crashes.,Medium,Critical,API,Test Data Issue,Open,Fixed,Bob Johnson,Automation Bot,2024-07-12,2024-07-22,,Sprint 14 (2024)
QA-267,QA Defects,Bug,Login button not responsive,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Major,UI,Memory Leak,In Progress,Fixed,Jane Smith,Test Engineer,2024-07-13,2024-07-17,2024-07-28,Sprint 14 (2024)
QA-268,QA Defects,Bug,File upload fails for large files,Steps: Call API endpoint. Expected: System should work correctly. Actual: Data not saved.,High,Major,Performance,Performance Issue,Closed,Fixed,Mark Lee,Test Engineer,2024-07-14,2024-07-18,,Sprint 14 (2024)
QA-269,QA Defects,Bug,Password reset email not received,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,High,Minor,Security,Test Data Issue,Resolved,,John Doe,Automation Bot,2024-07-15,2024-07-17,2024-07-18,Sprint 15 (2024)
QA-270,QA Defects,Bug,Export to CSV generates empty file,Steps: Call API endpoint. Expected: User should be redirected. Actual: Data not saved.,High,Critical,Data Handling,Code Bug,In Progress,Fixed,Alice Brown,QA Tester,2024-07-16,2024-07-18,2024-07-26,Sprint 15 (2024)
QA-271,QA Defects,Bug,UI alignment issue on mobile view,Steps: Click logout. Expected: Response should be 200 OK. Actual: Data not saved.,High,Blocker,UI,Test Data Issue,Closed,Won't Fix,Bob Johnson,Automation Bot,2024-07-18,2024-07-19,2024-07-27,Sprint 15 (2024)
QA-272,QA Defects,Bug,User roles not applied correctly after update,Steps: Click logout. Expected: Response should be 200 OK. Actual: 500 error returned.,Low,Minor,General Code Defect,Test Data Issue,Resolved,Fixed,Alice Brown,Test Engineer,2024-07-19,2024-07-21,,Sprint 15 (2024)
QA-273,QA Defects,Bug,Incorrect calculation in reporting module,Steps: Open app. Expected: Data should be saved. Actual: Data not saved.,High,Major,Reporting,Performance Issue,Open,Won't Fix,Jane Smith,Test Engineer,2024-07-20,2024-07-22,2024-08-03,Sprint 15 (2024)
QA-274,QA Defects,Bug,Dropdown options missing in settings,Steps: Click logout. Expected: System should work correctly. Actual: Data not saved.,High,Major,UI,Performance Issue,Open,,Bob Johnson,Test Engineer,2024-07-21,2024-07-25,2024-08-05,Sprint 15 (2024)
QA-275,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: System crashes.,High,Major,Performance,Test Data Issue,Resolved,Cannot Reproduce,Mark Lee,QA Tester,2024-07-22,2024-07-28,2024-08-02,Sprint 15 (2024)
QA-276,QA Defects,Bug,Cache not refreshed after deployment,Steps: Click logout. Expected: User should be redirected. Actual: Incorrect message displayed.,Medium,Blocker,DevOps,Environment Issue,Open,Duplicate,Bob Johnson,Test Engineer,2024-07-24,2024-08-01,,Sprint 15 (2024)
QA-277,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Call API endpoint. Expected: System should work correctly. Actual: 500 error returned.,Low,Minor,Performance,Code Bug,Closed,,John Doe,QA Tester,2024-07-25,2024-07-28,2024-07-29,Sprint 15 (2024)
QA-278,QA Defects,Bug,Memory leak observed under load test,Steps: Click logout. Expected: User should be redirected. Actual: System crashes.,High,Critical,Performance,Performance Issue,Resolved,,Bob Johnson,Automation Bot,2024-07-26,2024-07-29,2024-08-08,Sprint 15 (2024)
QA-279,QA Defects,Bug,Search results not displayed correctly,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: System crashes.,High,Blocker,Data Handling,Performance Issue,Closed,Cannot Reproduce,Alice Brown,Test Engineer,2024-07-27,2024-08-02,,Sprint 15 (2024)
QA-280,QA Defects,Bug,UI alignment issue on mobile view,Steps: Open app. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Critical,UI,Test Data Issue,Open,Cannot Reproduce,John Doe,Automation Bot,2024-07-28,2024-08-04,2024-08-13,Sprint 15 (2024)
QA-281,QA Defects,Bug,Application crashes on logout,Steps: Open app. Expected: User should be redirected. Actual: Page loads slowly.,Low,Critical,Logging,Memory Leak,Resolved,Won't Fix,Mark Lee,Test Engineer,2024-07-29,2024-08-07,2024-08-20,Sprint 16 (2024)
QA-282,QA Defects,Bug,UI alignment issue on mobile view,Steps: Submit form. Expected: User should be redirected. Actual: Data not saved.,Low,Blocker,UI,Configuration Issue,Resolved,Fixed,Alice Brown,QA Tester,2024-07-31,2024-08-07,,Sprint 16 (2024)
QA-283,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,Medium,Blocker,General Code Defect,Code Bug,Resolved,,Jane Smith,Test Engineer,2024-08-01,2024-08-08,2024-08-16,Sprint 16 (2024)
QA-284,QA Defects,Bug,Data not saved to database after form submit,Steps: Open app. Expected: User should be redirected. Actual: Data not saved.,Medium,Major,Database,Environment Issue,Closed,Cannot Reproduce,Alice Brown,Test Engineer,2024-08-02,2024-08-07,,Sprint 16 (2024)
QA-285,QA Defects,Bug,Memory leak observed under load test,Steps: Submit form. Expected: User should be redirected. Actual: 500 error returned.,High,Critical,Performance,Performance Issue,In Progress,Won't Fix,Alice Brown,QA Tester,2024-08-03,2024-08-11,2024-08-22,Sprint 16 (2024)
QA-286,QA Defects,Bug,Application crashes on logout,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Data not saved.,Low,Critical,Logging,Memory Leak,Resolved,Won't Fix,John Doe,QA Tester,2024-08-04,2024-08-14,2024-08-27,Sprint 16 (2024)
QA-287,QA Defects,Bug,API returns 500 error on valid request,Steps: Call API endpoint. Expected: Data should be saved. Actual: Incorrect message displayed.,High,Blocker,API,Environment Issue,Open,Duplicate,John Doe,Automation Bot,2024-08-05,2024-08-07,2024-08-13,Sprint 16 (2024)
QA-288,QA Defects,Bug,UI alignment issue on mobile view,Steps: Navigate to dashboard. Expected: User should be redirected. Actual: Data not saved.,High,Minor,UI,Memory Leak,Open,Won't Fix,Bob Johnson,Test Engineer,2024-08-07,2024-08-15,2024-08-16,Sprint 16 (2024)
QA-289,QA Defects,Bug,Export to CSV generates empty file,Steps: Submit form. Expected: Data should be saved. Actual: System crashes.,High,Blocker,Data Handling,Environment Issue,Closed,Fixed,John Doe,QA Tester,2024-08-08,2024-08-10,2024-08-24,Sprint 16 (2024)
QA-290,QA Defects,Bug,Login button not responsive,Steps: Click logout. Expected: System should work correctly. Actual: Data not saved.,Medium,Major,UI,Performance Issue,Open,Fixed,Alice Brown,Automation Bot,2024-08-09,2024-08-19,,Sprint 16 (2024)
QA-291,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Click logout. Expected: Data should be saved. Actual: Page loads slowly.,Medium,Critical,Performance,Environment Issue,Open,Won't Fix,Bob Johnson,QA Tester,2024-08-10,2024-08-13,2024-08-14,Sprint 16 (2024)
QA-292,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: Data should be saved. Actual: Page loads slowly.,High,Minor,General Code Defect,Code Bug,In Progress,Duplicate,John Doe,Test Engineer,2024-08-11,2024-08-20,2024-08-26,Sprint 16 (2024)
QA-293,QA Defects,Bug,Memory leak observed under load test,Steps: Click logout. Expected: User should be redirected. Actual: Data not saved.,High,Critical,Performance,Code Bug,In Progress,Fixed,John Doe,QA Tester,2024-08-12,2024-08-19,,Sprint 17 (2024)
QA-294,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Call API endpoint. Expected: Data should be saved. Actual: Page loads slowly.,High,Minor,Performance,Test Data Issue,Closed,Won't Fix,Mark Lee,QA Tester,2024-08-14,2024-08-20,2024-08-26,Sprint 17 (2024)
QA-295,QA Defects,Bug,Data not saved to database after form submit,Steps: Open app. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Minor,Database,Memory Leak,Resolved,Duplicate,Bob Johnson,Automation Bot,2024-08-15,2024-08-17,2024-08-20,Sprint 17 (2024)
QA-296,QA Defects,Bug,Dropdown options missing in settings,Steps: Call API endpoint. Expected: Data should be saved. Actual: Page loads slowly.,High,Blocker,UI,Test Data Issue,Open,,Bob Johnson,Test Engineer,2024-08-16,2024-08-26,2024-09-03,Sprint 17 (2024)
QA-297,QA Defects,Bug,Cache not refreshed after deployment,Steps: Submit form. Expected: Data should be saved. Actual: Data not saved.,Low,Major,DevOps,Configuration Issue,In Progress,Won't Fix,Jane Smith,Automation Bot,2024-08-17,2024-08-23,2024-09-07,Sprint 17 (2024)
QA-298,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: Data not saved.,Medium,Critical,Performance,Configuration Issue,Open,,Mark Lee,Automation Bot,2024-08-18,2024-08-19,2024-09-01,Sprint 17 (2024)
QA-299,QA Defects,Bug,Password reset email not received,Steps: Click logout. Expected: Data should be saved. Actual: Incorrect message displayed.,High,Critical,Security,Memory Leak,Open,Won't Fix,Alice Brown,QA Tester,2024-08-19,2024-08-23,2024-08-29,Sprint 17 (2024)
QA-300,QA Defects,Bug,Search results not displayed correctly,Steps: Click logout. Expected: User should be redirected. Actual: Page loads slowly.,High,Major,Data Handling,Code Bug,Closed,Duplicate,Mark Lee,Test Engineer,2024-08-21,2024-08-29,2024-09-01,Sprint 17 (2024)
QA-301,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Click logout. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Minor,General Code Defect,Configuration Issue,Resolved,Cannot Reproduce,John Doe,QA Tester,2024-08-22,2024-08-30,2024-09-08,Sprint 17 (2024)
QA-302,QA Defects,Bug,Login button not responsive,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: 500 error returned.,High,Critical,UI,Environment Issue,In Progress,Fixed,John Doe,QA Tester,2024-08-23,2024-08-31,2024-09-01,Sprint 17 (2024)
QA-303,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Call API endpoint. Expected: Data should be saved. Actual: Incorrect message displayed.,Low,Blocker,Validation,Environment Issue,In Progress,Cannot Reproduce,Mark Lee,Automation Bot,2024-08-24,2024-08-28,2024-08-31,Sprint 17 (2024)
QA-304,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Click logout. Expected: System should work correctly. Actual: Page loads slowly.,Low,Minor,General Code Defect,Test Data Issue,Open,,Alice Brown,QA Tester,2024-08-25,2024-08-30,2024-09-05,Sprint 17 (2024)
QA-305,QA Defects,Bug,Data not saved to database after form submit,Steps: Click logout. Expected: System should work correctly. Actual: Incorrect message displayed.,Medium,Critical,Database,Memory Leak,Closed,,Bob Johnson,QA Tester,2024-08-26,2024-09-05,2024-09-07,Sprint 18 (2024)
